========================================================================
VOCABULARY OUTPUT — NLP PREPROCESSING PIPELINE
========================================================================

Total tokens (running words) : 97,302
Raw vocabulary (types)       : 8,686
Lemma vocabulary (types)     : 7,292
Type–Token Ratio (TTR)       : 0.0893
Reduction after lemmatisation: 1,394 forms

────────────────────────────────────────────────────────────────────────
VOCABULARY — FREQUENCY RANKED (raw tokens)
────────────────────────────────────────────────────────────────────────
Rank  Word                             Count   Cumul.%
────────────────────────────────────────────────────────────────────────
1     the                              6,209     6.38%
2     of                               3,312     9.78%
3     in                               3,042    12.91%
4     neutral                          2,949    15.94%
5     and                              2,648    18.66%
6     to                               2,579    21.31%
7     a                                1,764    23.13%
8     positive                         1,423    24.59%
9     for                              1,176    25.80%
10    eur                              1,051    26.88%
11    is                                 951    27.86%
12    company                            868    28.75%
13    will                               867    29.64%
14    from                               783    30.44%
15    on                                 687    31.15%
16    its                                662    31.83%
17    negative                           637    32.48%
18    has                                604    33.11%
19    with                               587    33.71%
20    by                                 571    34.30%
21    as                                 558    34.87%
22    be                                 553    35.44%
23    said                               550    36.00%
24    mn                                 537    36.55%
25    finnish                            537    37.11%
26    at                                 498    37.62%
27    it                                 480    38.11%
28    sales                              460    38.58%
29    million                            455    39.05%
30    that                               447    39.51%
31    profit                             422    39.94%
32    net                                421    40.38%
33    was                                383    40.77%
34    finland                            348    41.13%
35    group                              339    41.48%
36    an                                 328    41.81%
37    operating                          306    42.13%
38    are                                292    42.43%
39    mln                                291    42.73%
40    business                           279    43.01%
41    new                                277    43.30%
42    year                               275    43.58%
43    m                                  274    43.86%
44    period                             269    44.14%
45    quarter                            247    44.39%
46    oyj                                242    44.64%
47    share                              240    44.89%
48    also                               232    45.13%
49    services                           226    45.36%
50    have                               225    45.59%
51    which                              223    45.82%
52    market                             218    46.04%
53    shares                             203    46.25%
54    first                              197    46.46%
55    this                               197    46.66%
56    up                                 186    46.85%
57    been                               175    47.03%
58    helsinki                           166    47.20%
59    euro                               165    47.37%
60    about                              158    47.53%
61    loss                               156    47.69%
62    operations                         152    47.85%
63    compared                           150    48.00%
64    today                              150    48.16%
65    contract                           148    48.31%
66    total                              143    48.46%
67    bank                               142    48.60%
68    nokia                              141    48.75%
69    financial                          138    48.89%
70    corporation                        137    49.03%
71    mobile                             137    49.17%
72    production                         136    49.31%
73    according                          135    49.45%
74    per                                132    49.58%
75    products                           132    49.72%
76    companies                          127    49.85%
77    were                               126    49.98%
78    technology                         125    50.11%
79    we                                 124    50.24%
80    percent                            123    50.36%
81    corresponding                      122    50.49%
82    plant                              121    50.61%
83    hel                                121    50.74%
84    than                               120    50.86%
85    solutions                          120    50.98%
86    other                              120    51.11%
87    service                            119    51.23%
88    our                                115    51.35%
89    increased                          114    51.46%
90    construction                       114    51.58%
91    capital                            110    51.69%
92    investment                         109    51.81%
93    more                               107    51.92%
94    agreement                          106    52.02%
95    well                               106    52.13%
96    increase                           105    52.24%
97    customers                          105    52.35%
98    rose                               104    52.46%
99    or                                 104    52.56%
100   their                              104    52.67%
101   oy                                 101    52.77%
102   not                                101    52.88%
103   order                               99    52.98%
104   pct                                 99    53.08%
105   value                               98    53.18%
106   down                                97    53.28%
107   all                                 96    53.38%
108   board                               95    53.48%
109   stock                               95    53.58%
110   some                                95    53.67%
111   would                               92    53.77%
112   unit                                92    53.86%
113   part                                92    53.96%
114   building                            92    54.05%
115   management                          92    54.15%
116   industry                            91    54.24%
117   omx                                 91    54.33%
118   one                                 91    54.43%
119   development                         90    54.52%
120   two                                 89    54.61%
121   russia                              88    54.70%
122   over                                88    54.79%
123   after                               86    54.88%
124   second                              86    54.97%
125   ceo                                 86    55.06%
126   earlier                             85    55.14%
127   result                              85    55.23%
128   paper                               85    55.32%
129   equipment                           85    55.41%
130   last                                84    55.49%
131   project                             81    55.58%
132   into                                80    55.66%
133   expected                            79    55.74%
134   media                               79    55.82%
135   decreased                           79    55.90%
136   employees                           78    55.98%
137   same                                78    56.06%
138   signed                              78    56.14%
139   can                                 78    56.22%
140   had                                 78    56.30%
141   end                                 78    56.38%
142   software                            78    56.46%
143   deal                                78    56.54%
144   third                               77    56.62%
145   plc                                 77    56.70%
146   maker                               77    56.78%
147   systems                             75    56.86%
148   announced                           74    56.93%
149   price                               74    57.01%
150   markets                             73    57.08%
151   under                               73    57.16%
152   usd                                 72    57.23%
153   news                                71    57.31%
154   while                               71    57.38%
155   including                           71    57.45%
156   global                              71    57.53%
157   us                                  70    57.60%
158   number                              70    57.67%
159   exchange                            70    57.74%
160   people                              70    57.81%
161   data                                69    57.88%
162   annual                              69    57.95%
163   approximately                       69    58.03%
164   area                                68    58.10%
165   acquisition                         68    58.17%
166   both                                68    58.24%
167   now                                 68    58.31%
168   system                              67    58.37%
169   growth                              66    58.44%
170   line                                65    58.51%
171   billion                             65    58.58%
172   september                           64    58.64%
173   before                              64    58.71%
174   months                              63    58.77%
175   euros                               62    58.84%
176   most                                62    58.90%
177   report                              61    58.96%
178   countries                           61    59.02%
179   network                             61    59.09%
180   based                               61    59.15%
181   may                                 61    59.21%
182   information                         60    59.27%
183   s                                   60    59.34%
184   use                                 59    59.40%
185   manufacturing                       59    59.46%
186   during                              59    59.52%
